ds,kelurahan,yhat,yhat_lower,yhat_upper
2024-07-01,Balai-Balai,381.9260301943562,381.1415945188334,382.7052964368144
2024-08-01,Balai-Balai,381.3996181387447,380.6190320813847,382.14440090895215
2024-09-01,Balai-Balai,379.8964558076467,379.08879297356015,380.693745867284
2024-10-01,Balai-Balai,379.3199255037838,378.6124400344171,380.0871348184713
2024-11-01,Balai-Balai,378.76077577918716,378.00509575765045,379.53891305304296
2024-12-01,Balai-Balai,378.7009018096115,377.9664387626021,379.38766159667114
2025-01-01,Balai-Balai,379.335446556623,378.63510014320457,380.0722046950607
2025-02-01,Balai-Balai,380.7953480550329,380.00628905551036,381.48210738092484
2025-03-01,Balai-Balai,382.28192477904014,381.5122965052589,383.0441857592295
2025-04-01,Balai-Balai,383.6422965893858,382.88920229877436,384.4193504832727
2025-05-01,Balai-Balai,384.609368710591,383.84009208331236,385.4130222052824
2025-06-01,Balai-Balai,385.42644284430065,384.70755325092966,386.2127134669987
2025-07-01,Balai-Balai,384.9921514336796,384.2736734112238,385.6947477123477
2025-08-01,Balai-Balai,384.4189715469121,383.65427317670884,385.15485822415735
2025-09-01,Balai-Balai,383.1692210738973,382.4122919304474,383.9319824499117
